substrate	smiles	d_substrate	d_smiles	nme_substrate	nme_smiles	nme_d_substrate	nme_d_smiles
R-beta-hydroxytyrosine	O=C(O)[C@@H](N)[C@H](O)c1ccc(O)cc1	D-R-beta-hydroxytyrosine	O=C(O)[C@H](N)[C@H](O)c1ccc(O)cc1	NMe-R-beta-hydroxytyrosine	CN[C@H](C(O)=O)[C@H](O)c1ccc(O)cc1	NMe-D-R-beta-hydroxytyrosine	CN[C@@H](C(O)=O)[C@H](O)c1ccc(O)cc1
R-beta-methylphenylalanine	C[C@@H]([C@H](N)C(O)=O)c1ccccc1	D-R-beta-methylphenylalanine	C[C@@H]([C@@H](N)C(O)=O)c1ccccc1	NMe-R-beta-methylphenylalanine	CN[C@H](C(O)=O)[C@@H](c1ccccc1)C	NMe-D-R-beta-methylphenylalanine	CN[C@@H](C(O)=O)[C@@H](c1ccccc1)C
R-beta-methyltryptophan	C[C@@H]([C@H](N)C(O)=O)c1c[nH]c2ccccc12	D-R-beta-methyltryptophan	C[C@@H]([C@@H](N)C(O)=O)c1c[nH]c2ccccc12	NMe-R-beta-methyltryptophan	CN[C@H](C(O)=O)[C@@H](c1c[nH]c2ccccc12)C	NMe-D-R-beta-methyltryptophan	CN[C@@H](C(O)=O)[C@@H](c1c[nH]c2ccccc12)C
R-beta-phenylalanine	O=C(O)C[C@@H](N)c1ccccc1			NMe-R-beta-phenylalanine	CN[C@H](CC(O)=O)c1ccccc1		
R-beta-tyrosine	O=C(O)C[C@@H](N)c1ccc(O)cc1			NMe-R-beta-tyrosine	CN[C@H](CC(O)=O)c1ccc(O)cc1		
S-adenosylmethionine	C[S+](C[C@@H]1[C@@H](O)[C@@H](O)[C@H](n2cnc3c(N)ncnc23)O1)CC[C@H](N)C([O-])=O	D-S-adenosylmethionine	C[S+](C[C@@H]1[C@@H](O)[C@@H](O)[C@H](n2cnc3c(N)ncnc23)O1)CC[C@@H](N)C([O-])=O	NMe-S-adenosylmethionine	CN[C@H](C([O-])=O)CC[S+](C[C@@H]1[C@@H](O)[C@@H](O)[C@H](n2cnc3c(N)ncnc23)O1)C	NMe-D-S-adenosylmethionine	CN[C@@H](C([O-])=O)CC[S+](C[C@@H]1[C@@H](O)[C@@H](O)[C@H](n2cnc3c(N)ncnc23)O1)C
S-beta-hydroxycyclohex-2S-enylalanine	O[C@H]([C@H](N)C(O)=O)[C@@H]1C=CCCC1	S-beta-hydroxycyclohex-2R-enylalanine	O[C@H]([C@@H](N)C(O)=O)[C@@H]1C=CCCC1	NMe-S-beta-hydroxycyclohex-2S-enylalanine	CN[C@H](C(O)=O)[C@@H](O)[C@@H]1C=CCCC1	NMe-S-beta-hydroxycyclohex-2R-enylalanine	CN[C@@H](C(O)=O)[C@@H](O)[C@@H]1C=CCCC1
S-beta-hydroxyenduracididine	NC=1N[C@H]([C@@H]([C@H](N)C(O)=O)O)CN=1	D-S-beta-hydroxyenduracididine	NC=1N[C@H]([C@@H]([C@@H](N)C(O)=O)O)CN=1	NMe-S-beta-hydroxyenduracididine	CN[C@H](C(O)=O)[C@@H](O)[C@@H]1CN=C(N)N1	NMe-D-S-beta-hydroxyenduracididine	CN[C@@H](C(O)=O)[C@@H](O)[C@@H]1CN=C(N)N1
S-beta-hydroxyphenylalanine	O[C@H]([C@H](N)C(O)=O)c1ccccc1	D-S-beta-hydroxyphenylalanine	O[C@H]([C@@H](N)C(O)=O)c1ccccc1	NMe-S-beta-hydroxyphenylalanine	CN[C@H](C(O)=O)[C@H](c1ccccc1)O	NMe-D-S-beta-hydroxyphenylalanine	CN[C@@H](C(O)=O)[C@H](c1ccccc1)O
S-beta-methylphenylalanine	C[C@H]([C@H](N)C(O)=O)c1ccccc1	D-S-beta-methylphenylalanine	C[C@H]([C@@H](N)C(O)=O)c1ccccc1	NMe-S-beta-methylphenylalanine	CN[C@H](C(O)=O)[C@H](c1ccccc1)C	NMe-D-S-beta-methylphenylalanine	CN[C@@H](C(O)=O)[C@H](c1ccccc1)C
S-beta-tyrosine	O=C(O)C[C@H](N)c1ccc(O)cc1			NMe-S-beta-tyrosine	CN[C@@H](CC(O)=O)c1ccc(O)cc1		
acetic acid	CC(=O)O						
alanine	C[C@H](N)C(O)=O	D-alanine	C[C@@H](N)C(O)=O	NMe-alanine	CN[C@H](C(O)=O)C	NMe-D-alanine	CN[C@@H](C(O)=O)C
alaninol	C[C@H](N)CO						
allo-isoleucine	CC[C@H]([C@H](N)C(O)=O)C	D-isoleucine	CC[C@H]([C@@H](N)C(O)=O)C	NMe-allo-isoleucine	CN[C@H](C(O)=O)[C@H](C)CC	NMe-D-isoleucine	CN[C@@H](C(O)=O)[C@H](C)CC
allo-threonine	C[C@H](O)[C@H](N)C(O)=O	D-threonine	C[C@H](O)[C@@H](N)C(O)=O	NMe-allo-threonine	CN[C@H](C(O)=O)[C@@H](O)C	NMe-D-threonine	CN[C@@H](C(O)=O)[C@@H](O)C
anthranilic acid	OC(=O)c1c(N)cccc1						
arginine	O=C(O)[C@@H](N)CCCN=C(N)N	D-arginine	O=C(O)[C@H](N)CCCN=C(N)N	NMe-arginine	CN[C@H](C(O)=O)CCCN=C(N)N	NMe-D-arginine	CN[C@@H](C(O)=O)CCCN=C(N)N
argininol	N[C@@H](CCCN=C(N)N)CO						
asparagine	O=C(O)[C@@H](N)CC(N)=O	D-asparagine	O=C(O)[C@H](N)CC(N)=O	NMe-asparagine	CN[C@H](C(O)=O)CC(N)=O	NMe-D-asparagine	CN[C@@H](C(O)=O)CC(N)=O
aspartic acid	O=C(O)[C@@H](N)CC(O)=O	D-aspartic acid	O=C(O)[C@H](N)CC(O)=O	NMe-aspartic acid	CN[C@H](C(O)=O)CC(O)=O	NMe-D-aspartic acid	CN[C@@H](C(O)=O)CC(O)=O
aspartic acid branched	O=C(O)[C@@H](N)CC(O)=O	D-aspartic acid branched	O=C(O)[C@H](N)CC(O)=O	NMe-aspartic acid branched	CN[C@H](C(O)=O)CC(O)=O	NMe-D-aspartic acid branched	CN[C@@H](C(O)=O)CC(O)=O
azetidine-2-carboxylic acid	O=C([C@H]1NCC1)O	D-azetidine-2-carboxylic acid	O=C([C@@H]1NCC1)O	NMe-azetidine-2-carboxylic acid	CN(CC1)[C@@H]1C(O)=O	NMe-D-azetidine-2-carboxylic acid	CN(CC1)[C@H]1C(O)=O
benzoic acid	OC(=O)c1ccccc1						
benzoxazolinate	O=C(O)c2nc1c(o2)cccc1						
beta-alanine	NCCC(O)=O			NMe-beta-alanine	CNCCC(O)=O		
beta-hydroxy-3-hydroxy-O-methyl-5-methyltyrosine	Cc1cc(C([C@H](N)C(O)=O)O)cc(O)c1OC	D-beta-hydroxy-3-hydroxy-O-methyl-5-methyltyrosine	Cc1cc(C([C@@H](N)C(O)=O)O)cc(O)c1OC	NMe-beta-hydroxy-3-hydroxy-O-methyl-5-methyltyrosine	CN[C@H](C(O)=O)C(O)c(cc(O)c1OC)cc1C	NMe-D-beta-hydroxy-3-hydroxy-O-methyl-5-methyltyrosine	CN[C@@H](C(O)=O)C(O)c(cc(O)c1OC)cc1C
beta-hydroxy-gamma-methyl-hexadecanoic acid	CCCCCCCCCCCCC(C(CC(O)=O)O)C						
beta-hydroxyarginine	OC([C@H](N)C(O)=O)CCN=C(N)N	D-beta-hydroxyarginine	OC([C@@H](N)C(O)=O)CCN=C(N)N	NMe-beta-hydroxyarginine	CN[C@H](C(O)=O)C(O)CCN=C(N)N	NMe-D-beta-hydroxyarginine	CN[C@@H](C(O)=O)C(O)CCN=C(N)N
beta-hydroxyphenylalanine	OC([C@H](N)C(O)=O)c1ccccc1	D-beta-hydroxyphenylalanine	OC([C@@H](N)C(O)=O)c1ccccc1	NMe-beta-hydroxyphenylalanine	CN[C@H](C(O)=O)C(c1ccccc1)O	NMe-D-beta-hydroxyphenylalanine	CN[C@@H](C(O)=O)C(c1ccccc1)O
beta-hydroxytyrosine	O=C(O)[C@@H](N)C(O)c1ccc(O)cc1	D-beta-hydroxytyrosine	O=C(O)[C@H](N)C(O)c1ccc(O)cc1	NMe-beta-hydroxytyrosine	CN[C@H](C(O)=O)C(O)c1ccc(O)cc1	NMe-D-beta-hydroxytyrosine	CN[C@@H](C(O)=O)C(O)c1ccc(O)cc1
beta-lysine	N[C@H](CC(O)=O)CCCN			NMe-beta-lysine	CN[C@H](CC(O)=O)CCCN		
beta-methylphenylalanine	CC(C(N)C(O)=O)c1ccccc1			NMe-beta-methylphenylalanine	CNC(C(O)=O)C(c1ccccc1)C		
betaine	C[N+](CC(O)=O)(C)C						
butyric acid	CCCC(O)=O						
caffeic acid	OC(/C=C/c(cc1O)ccc1O)=O						
capreomycidine	O=C(O)[C@@H](N)[C@H]1CCN=C(N)N1	D-capreomycidine	O=C(O)[C@H](N)[C@H]1CCN=C(N)N1	NMe-capreomycidine	CN[C@H](C(O)=O)[C@H]1CCN=C(N)N1	NMe-D-capreomycidine	CN[C@@H](C(O)=O)[C@H]1CCN=C(N)N1
cinnamic acid	O=C(O)\C=C\c1ccccc1						
citrulline	O=C(O)[C@@H](N)CCCNC(N)=O	D-citrulline	O=C(O)[C@H](N)CCCNC(N)=O	NMe-citrulline	CN[C@H](C(O)=O)CCCNC(N)=O	NMe-D-citrulline	CN[C@@H](C(O)=O)CCCNC(N)=O
colletorin D acid	Cc1cc(O)c(CC=C(C)C)c(O)c1C(O)=O						
coumaric acid	O=C(O)\C=C\c1ccc(O)cc1						
cysteic acid	O=C(O)[C@@H](N)CS(O)(=O)=O	D-cysteic acid	O=C(O)[C@H](N)CS(O)(=O)=O	NMe-cysteic acid	CN[C@H](C(O)=O)CS(O)(=O)=O	NMe-D-cysteic acid	CN[C@@H](C(O)=O)CS(O)(=O)=O
cysteine	O=C(O)[C@@H](N)CS	D-cysteine	O=C(O)[C@H](N)CS	NMe-cysteine	CN[C@H](C(O)=O)CS	NMe-D-cysteine	CN[C@@H](C(O)=O)CS
cysteine branched	O=C(O)[C@@H](N)CS	D-cysteine branched	O=C(O)[C@H](N)CS				
dehydroarginine	NC(N)=NCC/C=C(\N)/C(O)=O			NMe-dehydroarginine	CN/C(/C(O)=O)=C\CCN=C(N)N		
dehydrophenylalanine	N/C(/C(O)=O)=C\c1ccccc1			NMe-dehydrophenylalanine	CN/C(/C(O)=O)=C\c1ccccc1		
dehydrotryptophan	O=C(O)\C(\N)=C\c2c1c([nH]c2)cccc1			NMe-dehydrotryptophan	CN/C(/C(O)=O)=C\c(c[nH]2)c1c2cccc1		
dehydrovaline	CC(C)=C(N)C(O)=O			NMe-dehydrovaline	CNC(C(O)=O)=C(C)C		
dihydrolysergic acid	CN1CC(C(O)=O)CC(c4cccc3[nH]cc(c34)C2)C12						
dimethylsulfoniopropionic acid	C[S+](CCC(O)=O)C						
